Date,Dengue,Day,Dayweek
01-05-2017,0,1,1
02-05-2017,188,2,1
03-05-2017,156,3,1
04-05-2017,135,4,1
05-05-2017,158,5,1
06-05-2017,203,6,1
07-05-2017,0,7,1
08-05-2017,191,8,1
09-05-2017,224,9,1
10-05-2017,195,10,1
11-05-2017,240,11,1
12-05-2017,236,12,1
13-05-2017,0,13,1
14-05-2017,0,14,1
15-05-2017,308,15,1
16-05-2017,330,16,1
17-05-2017,262,17,1
18-05-2017,280,18,1
19-05-2017,238,19,1
20-05-2017,225,20,1
21-05-2017,0,21,1
22-05-2017,363,22,1
23-05-2017,528,23,1
24-05-2017,0,24,1
25-05-2017,424,25,1
26-05-2017,432,26,1
27-05-2017,391,27,1
28-05-2017,0,28,1
29-05-2017,618,1,2
30-05-2017,811,2,2
31-05-2017,523,3,2
01-06-2017,491,4,2
02-06-2017,525,5,2
03-06-2017,590,6,2
04-06-2017,0,7,2
05-06-2017,633,8,2
06-06-2017,702,9,2
07-06-2017,607,10,2
08-06-2017,548,11,2
09-06-2017,665,12,2
10-06-2017,0,13,2
11-06-2017,0,14,2
12-06-2017,775,15,2
13-06-2017,872,16,2
14-06-2017,561,17,2
15-06-2017,0,18,2
16-06-2017,696,19,2
17-06-2017,680,20,2
18-06-2017,174,21,2
19-06-2017,711,22,2
20-06-2017,933,23,2
21-06-2017,795,24,2
22-06-2017,764,25,2
23-06-2017,658,26,2
24-06-2017,745,27,2
25-06-2017,0,28,2
26-06-2017,663,1,3
27-06-2017,940,2,3
28-06-2017,0,3,3
29-06-2017,702,4,3
30-06-2017,810,5,3
01-07-2017,885,6,3
02-07-2017,624,7,3
03-07-2017,773,8,3
04-07-2017,860,9,3
05-07-2017,866,10,3
06-07-2017,678,11,3
07-07-2017,227,12,3
08-07-2017,309,13,3
09-07-2017,293,14,3
10-07-2017,600,15,3
11-07-2017,664,16,3
12-07-2017,845,17,3
13-07-2017,782,18,3
14-07-2017,663,19,3
15-07-2017,468,20,3
16-07-2017,264,21,3
17-07-2017,0,22,3
18-07-2017,686,23,3
19-07-2017,553,24,3
20-07-2017,575,25,3
21-07-2017,540,26,3
22-07-2017,513,27,3
23-07-2017,159,28,3
24-07-2017,728,1,4
25-07-2017,573,2,4
26-07-2017,451,3,4
27-07-2017,646,4,4
28-07-2017,421,5,4
29-07-2017,474,6,4
30-07-2017,0,7,4
31-07-2017,429,8,4
01-08-2017,593,9,4
02-08-2017,439,10,4
03-08-2017,358,11,4
04-08-2017,354,12,4
05-08-2017,388,13,4
06-08-2017,114,14,4
07-08-2017,680,15,4
08-08-2017,463,16,4
09-08-2017,452,17,4
10-08-2017,369,18,4
11-08-2017,360,19,4
12-08-2017,178,20,4
13-08-2017,100,21,4
14-08-2017,343,22,4
15-08-2017,0,23,4
16-08-2017,378,24,4
17-08-2017,290,25,4
18-08-2017,276,26,4
19-08-2017,374,27,4
20-08-2017,0,28,4
21-08-2017,284,1,5
22-08-2017,306,2,5
23-08-2017,326,3,5
24-08-2017,266,4,5
25-08-2017,246,5,5
26-08-2017,163,6,5
27-08-2017,0,7,5
28-08-2017,0,8,5
29-08-2017,229,9,5
30-08-2017,159,10,5
31-08-2017,0,11,5
01-09-2017,161,12,5
02-09-2017,151,13,5
03-09-2017,0,14,5
04-09-2017,0,15,5
05-09-2017,0,16,5
06-09-2017,0,17,5
07-09-2017,0,18,5
08-09-2017,162,19,5
09-09-2017,0,20,5
10-09-2017,0,21,5
11-09-2017,138,22,5
12-09-2017,0,23,5
13-09-2017,185,24,5
14-09-2017,135,25,5
15-09-2017,128,26,5
16-09-2017,108,27,5
17-09-2017,0,28,5
18-09-2017,125,1,6
19-09-2017,139,2,6
20-09-2017,128,3,6
21-09-2017,0,4,6
22-09-2017,110,5,6
23-09-2017,0,6,6
24-09-2017,0,7,6
25-09-2017,0,8,6
26-09-2017,0,9,6
27-09-2017,91,10,6
28-09-2017,86,11,6
29-09-2017,0,12,6
30-09-2017,0,13,6
01-10-2017,0,14,6
02-10-2017,0,15,6
03-10-2017,100,16,6
04-10-2017,93,17,6
05-10-2017,89,18,6
06-10-2017,74,19,6
07-10-2017,70,20,6
08-10-2017,0,21,6
09-10-2017,83,22,6
10-10-2017,63,23,6
11-10-2017,81,24,6
12-10-2017,64,25,6
13-10-2017,71,26,6
14-10-2017,0,27,6
15-10-2017,0,28,6
16-10-2017,0,1,7
17-10-2017,56,2,7
18-10-2017,0,3,7
19-10-2017,41,4,7
20-10-2017,53,5,7
21-10-2017,56,6,7
22-10-2017,0,7,7
23-10-2017,56,8,7
24-10-2017,52,9,7
25-10-2017,63,10,7
26-10-2017,78,11,7
27-10-2017,34,12,7
28-10-2017,48,13,7
29-10-2017,0,14,7
30-10-2017,50,15,7
31-10-2017,34,16,7
01-11-2017,47,17,7
02-11-2017,41,18,7
03-11-2017,48,19,7
04-11-2017,43,20,7
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
